Country Name,Indicator Name,2018,2019,2020,2021,2022
Ukraine,GDP (current US$),1.30891E+11,1.53883E+11,1.56618E+11,1.99766E+11,1.6199E+11
United Arab Emirates,GDP (current US$),4.27049E+11,4.1799E+11,3.49473E+11,4.15179E+11,5.02732E+11
United Kingdom,GDP (current US$),2.87134E+12,2.85141E+12,2.69678E+12,3.14332E+12,3.11404E+12
United States,GDP (current US$),2.06565E+13,2.154E+13,2.13541E+13,2.36812E+13,2.60069E+13
Uruguay,GDP (current US$),65344577416,62222313619,53559359262,60739084241,70594110920
Uzbekistan,GDP (current US$),58695899092,67293639798,66443265418,77340060003,90095926567
Vanuatu,GDP (current US$),914727908.1,936526267.6,909421043.5,982362211.9,1030654208
Vietnam,GDP (current US$),3.10106E+11,3.34365E+11,3.46616E+11,3.66475E+11,4.13445E+11
Yemen,GDP (current US$),21606160663,,,,
Zambia,GDP (current US$),26311507274,23308667781,18137764931,22096416932,29163782140
Zimbabwe,GDP (current US$),34156057417,25715657177,26868564055,27240507842,32789657378
