Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,GDP (current US$),3.12889E+11,3.48381E+11,3.6156E+11,3.8451E+11,4.28502E+11,4.46557E+11,5.6693E+11,7.38191E+11,8.68524E+11,9.67754E+11,1.03713E+12,1.10384E+12,1.22375E+12,1.35504E+12,1.48982E+12,1.6839E+12,1.9842E+12,2.31755E+12,2.7915E+12,3.60406E+12,4.66735E+12,5.18958E+12,6.19256E+12,7.67176E+12,8.67366E+12,9.74312E+12,1.06745E+13,1.12808E+13,1.1456E+13,1.25376E+13,1.41478E+13,1.45602E+13,1.49964E+13,1.82017E+13,1.83168E+13
Colombia,GDP (current US$),39212550050,39540080200,47844090710,49637993949,58394443378,66474101301,81705497617,92495970511,97153389011,1.06656E+11,98486358581,86278947637,99875074951,98200641203,97945812803,94644969157,1.17092E+11,1.45601E+11,1.61793E+11,2.0623E+11,2.42504E+11,2.32469E+11,2.86499E+11,3.34966E+11,3.70691E+11,3.82094E+11,3.81241E+11,2.93492E+11,2.8272E+11,3.11867E+11,3.34198E+11,3.23032E+11,2.70348E+11,3.18525E+11,3.45632E+11
Comoros,GDP (current US$),356500032.7,341476768.3,429622177.7,424108769.5,457388651.5,452881475.1,319189184.3,398461797,396053805.9,364445600.5,370106745.9,382454990,351136579.6,378512024.1,425964681,546885222.7,633706110.8,653845169.2,698431793.9,795673152.9,915659108,905341172.7,907979446.4,1023087476,1015842907,1116223107,1149587624,966029599.8,1012835493,1077439756,1188797450,1195019531,1225039196,1299039312,1279542248
"Congo, Rep.",GDP (current US$),2212536312,2389593026,2798746050,2724853506,2933222703,2684323623,1769365438,2116003868,2540697539,2322719103,1949481379,2354772960,3227927698,2796704604,3034250924,3503723088,4656974940,6650001680,8072305029,8782703437,11649857673,9723299915,13148396212,15655383577,17692911296,17958720699,17919321078,12434793867,10931328151,11834473039,14773900289,13976637780,11468687464,14825690211,15817030157
Costa Rica,GDP (current US$),4614629898,5251025768,5711687787,7215725487,8579754758,9564815975,10489903725,11578594260,11678424507,12614602382,13684255947,14254866285,15013629662,15976174337,16578820687,17271760507,18610594846,20040642477,22715540324,26884700709,30801745700,30745714313,37658616952,42762613699,47231655432,50949668842,52016408854,56441920821,58847019610,60516044657,62420164992,64417670521,62395610760,64960725734,69243626029
Cote d'Ivoire,GDP (current US$),10255169806,9757410645,10795850583,10492628581,11152971274,11045760288,8313557510,11000146267,18071152831,18047558038,19619654756,18870992456,16577533892,16810537044,18054383321,21251754340,23510575681,24036918703,25281413263,28760090953,34078240293,33886813250,34936307980,36693710801,36302302877,42760235485,48843005614,45815005169,48407761037,52512343997,58522477787,60382894697,63027852805,72794636649,70922824824
Croatia,GDP (current US$),,,25650213280,18760386775,10621169291,11259647874,15062911617,22772394547,24150978347,24175764812,25890228430,23777026779,22134411297,23066883850,26757722429,35245317002,41836292157,45013119282,49590197657,59298265770,68478776206,62321642125,58981738869,62903737380,57551963753,59852401272,59612144078,51005200670,52654855638,56186190438,61668130123,61467582194,57963370885,69006802299,71198635102
Cuba,GDP (current US$),27458999472,27023468666,28645436569,24316556026,22085858243,22367254865,28448326757,30429803651,25017368700,25365908100,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925926,54262870370,56302129630,57481481481,59562962963,68990000000,73141000000,77148000000,80656100000,87132800000,91370407864,96850649692,1.0005E+11,1.03428E+11,1.07352E+11,,
Curaçao,GDP (current US$),,,,,,,,,,,,,2120511229,2143450726,2160784693,2202117374,2237160503,2344637263,2457581732,2593831508,2833476145,2869153184,2951342793,2930092235,3012836257,3033568603,3059406983,3058779218,3024690168,3033433240,3046364804,3026124116,2534327592,2739594360,3075180835
Cyprus,GDP (current US$),4278792597,4563482604,5591130218,5770197349,6912150456,6590291048,7425703929,9933137128,10011914680,9547816420,10248618778,10497907228,9985847314,10397898907,11420228846,14547329558,17320551250,18433412511,20072754987,23968727074,27844646258,26048179949,25799940078,27641547910,25047436975,23959712861,23225918260,19909278417,21046462281,22946570629,25754001368,26196667100,25555093854,30372642502,30935566077
Czech Republic,GDP (current US$),,,41016881802,30071014282,35051065440,41155654032,48188478339,60572381311,67804105330,62539765163,67187217328,65586562605,62175642238,68135304464,82607869610,1.00436E+11,1.20148E+11,1.37264E+11,1.56236E+11,1.90041E+11,2.36506E+11,2.06972E+11,2.11169E+11,2.31429E+11,2.10363E+11,2.13024E+11,2.10911E+11,1.89108E+11,1.98161E+11,2.21564E+11,2.51992E+11,2.56794E+11,2.5111E+11,2.90973E+11,3.01831E+11
Denmark,GDP (current US$),1.1554E+11,1.12312E+11,1.38218E+11,1.39181E+11,1.52966E+11,1.43111E+11,1.56018E+11,1.84848E+11,1.87481E+11,1.73241E+11,1.76877E+11,1.77888E+11,1.64044E+11,1.64882E+11,1.78788E+11,2.18421E+11,2.51986E+11,2.6515E+11,2.83386E+11,3.20213E+11,3.54979E+11,3.22619E+11,3.22346E+11,3.44316E+11,3.26793E+11,3.44631E+11,3.52833E+11,3.01759E+11,3.12182E+11,3.31611E+11,3.55293E+11,3.45401E+11,3.55631E+11,4.08378E+11,4.01946E+11
